Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
P07360	reviewed	CO8G_HUMAN	Complement component C8 gamma chain	Homo sapiens (Human)	202	C8G	C8G	1IW2;1LF7;2OVA;2OVD;2OVE;2QOS;2RD7;3OJY;6H03;6H04;7NYC;7NYD;
P07384	reviewed	CAN1_HUMAN	Calpain-1 catalytic subunit, EC 3.4.22.52 (Calcium-activated neutral proteinase 1, CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain, muCANP)	Homo sapiens (Human)	714	CAPN1	CAPN1 CANPL1 PIG30	1ZCM;2ARY;
P07437	reviewed	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	Homo sapiens (Human)	444	TUBB	TUBB TUBB5 OK/SW-cl.56	3QNZ;3QO0;5N5N;6I2I;6QUS;6QUY;6QVE;6QVJ;
P07451	reviewed	CAH3_HUMAN	Carbonic anhydrase 3, EC 4.2.1.1 (Carbonate dehydratase III) (Carbonic anhydrase III, CA-III)	Homo sapiens (Human)	260	CA3	CA3	1Z93;1Z97;2HFW;3UYN;3UYQ;
P07477	reviewed	TRY1_HUMAN	Serine protease 1, EC 3.4.21.4 (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2 ]	Homo sapiens (Human)	247	PRSS1	PRSS1 TRP1 TRY1 TRYP1	1FXY;1TRN;2RA3;4WWY;4WXV;7QE8;7QE9;
P07492	reviewed	GRP_HUMAN	Gastrin-releasing peptide, GRP [Cleaved into: Neuromedin-C (GRP-10) (GRP18-27) ]	Homo sapiens (Human)	148	GRP	GRP	2N0B;2N0C;2N0D;2N0E;2N0F;2N0G;2N0H;
P07550	reviewed	ADRB2_HUMAN	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor, Beta-2 adrenoceptor)	Homo sapiens (Human)	413	ADRB2	ADRB2 ADRB2R B2AR	1GQ4;2R4R;2R4S;2RH1;3D4S;3KJ6;3NY8;3NY9;3NYA;3P0G;3PDS;3SN6;4GBR;4LDE;4LDL;4LDO;4QKX;5D5A;5D5B;5D6L;5JQH;5X7D;6E67;6KR8;6MXT;6N48;6NI3;6OBA;6PRZ;6PS0;6PS1;6PS2;6PS3;6PS4;6PS5;6PS6;7BZ2;7DHI;7DHR;
P07602	reviewed	SAP_HUMAN	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator, CSAct) (Dispersin) (Sphingolipid activator protein 1, SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2, SAP-2); Saposin-D (Component C) (Protein C) ]	Homo sapiens (Human)	524	PSAP	PSAP GLBA SAP1	1M12;1N69;1SN6;2DOB;2GTG;2QYP;2R0R;2R1Q;2RB3;2Z9A;3BQP;3BQQ;4DDJ;4UEX;4V2O;6SLR;
P07686	reviewed	HEXB_HUMAN	Beta-hexosaminidase subunit beta, EC 3.2.1.52 (Beta-N-acetylhexosaminidase subunit beta, Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein, HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A ]	Homo sapiens (Human)	556	HEXB	HEXB HCC7	1NOU;1NOW;1NP0;1O7A;2GJX;2GK1;3LMY;5BRO;
P07711	reviewed	CATL1_HUMAN	Procathepsin L, EC 3.4.22.15 (Cathepsin L1) (Major excreted protein, MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain ]	Homo sapiens (Human)	333	CTSL	CTSL CTSL1	1CJL;1CS8;1ICF;1MHW;2NQD;2VHS;2XU1;2XU3;2XU4;2XU5;2YJ2;2YJ8;2YJ9;2YJB;2YJC;3BC3;3H89;3H8B;3H8C;3HHA;3HWN;3IV2;3K24;3KSE;3OF8;3OF9;4AXL;4AXM;5F02;5I4H;5MAE;5MAJ;5MQY;6EZP;6EZX;6F06;6JD0;6JD8;
P07737	reviewed	PROF1_HUMAN	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	Homo sapiens (Human)	140	PFN1	PFN1	1AWI;1CF0;1CJF;1FIK;1FIL;1PFL;2PAV;2PBD;3CHW;4X1L;4X1M;4X25;6NAS;6NBE;6NBW;7P1H;
P07738	reviewed	PMGE_HUMAN	Bisphosphoglycerate mutase, BPGM, EC 5.4.2.4 (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase, EC 5.4.2.11) (2,3-diphosphoglycerate mutase, DPGM) (BPG-dependent PGAM)	Homo sapiens (Human)	259	BPGM	BPGM	1T8P;2A9J;2F90;2H4X;2H4Z;2H52;2HHJ;3NFY;7N3R;7N3S;7THI;
P07741	reviewed	APT_HUMAN	Adenine phosphoribosyltransferase, APRT, EC 2.4.2.7	Homo sapiens (Human)	180	APRT	APRT	1ORE;1ZN7;1ZN8;1ZN9;4X44;4X45;6FCH;6FCI;6FCL;6FD4;6FD5;6FD6;6HGP;6HGQ;6HGR;6HGS;
P07766	reviewed	CD3E_HUMAN	T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e)	Homo sapiens (Human)	207	CD3E	CD3E T3E	1A81;1SY6;1XIW;2ROL;5QU2;6JXR;
P07814	reviewed	SYEP_HUMAN	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase, EC 6.1.1.17 (Glutamyl-tRNA synthetase, GluRS); Proline--tRNA ligase, EC 6.1.1.15 (Prolyl-tRNA synthetase) ]	Homo sapiens (Human)	1512	EPRS1	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	1FYJ;4HVC;4K86;4K87;4K88;5A1N;5A34;5A5H;5BMU;5V58;5VAD;5Y6L;6IY6;7BBU;7OSY;7OSZ;7OT0;7OT1;7OT2;7OT3;
P07858	reviewed	CATB_HUMAN	Cathepsin B, EC 3.4.22.1 (APP secretase, APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain ]	Homo sapiens (Human)	339	CTSB	CTSB CPSB	1CSB;1GMY;1HUC;1PBH;2IPP;2PBH;3AI8;3CBJ;3CBK;3K9M;3PBH;5MBL;5MBM;6AY2;
P07864	reviewed	LDHC_HUMAN	L-lactate dehydrogenase C chain, LDH-C, EC 1.1.1.27 (Cancer/testis antigen 32, CT32) (LDH testis subunit) (LDH-X)	Homo sapiens (Human)	332	LDHC	LDHC LDH3 LDHX	7EPM;
P07900	reviewed	HS90A_HUMAN	Heat shock protein HSP 90-alpha, EC 3.6.4.10 (Heat shock 86 kDa, HSP 86, HSP86) (Lipopolysaccharide-associated protein 2, LAP-2, LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	Homo sapiens (Human)	732	HSP90AA1	HSP90AA1 HSP90A HSPC1 HSPCA	1BYQ;1OSF;1UY6;1UY7;1UY8;1UY9;1UYC;1UYD;1UYE;1UYF;1UYG;1UYH;1UYI;1UYK;1UYL;1YC1;1YC3;1YC4;1YER;1YES;1YET;2BSM;2BT0;2BUG;2BYH;2BYI;2BZ5;2C2L;2CCS;2CCT;2CCU;2FWY;2FWZ;2H55;2JJC;2K5B;2QF6;2QFO;2QG0;2QG2;2UWD;2VCI;2VCJ;2WI1;2WI2;2WI3;2WI4;2WI5;2WI6;2WI7;2XAB;2XDK;2XDL;2XDS;2XDU;2XDX;2XHR;2XHT;2XHX;2XJG;2XJJ;2XJX;2XK2;2YE2;2YE3;2YE4;2YE5;2YE6;2YE7;2YE8;2YE9;2YEA;2YEB;2YEC;2YED;2YEE;2YEF;2YEG;2YEH;2YEI;2YEJ;2YI0;2YI5;2YI6;2YI7;2YJW;2YJX;2YK2;2YK9;2YKB;2YKC;2YKE;2YKI;2YKJ;3B24;3B25;3B26;3B27;3B28;3BM9;3BMY;3D0B;3EKO;3EKR;3FT5;3FT8;3HEK;3HHU;3HYY;3HYZ;3HZ1;3HZ5;3INW;3INX;3K97;3K98;3K99;3MNR;3O0I;3OW6;3OWB;3OWD;3Q6M;3Q6N;3QDD;3QTF;3R4M;3R4N;3R4O;3R4P;3R91;3R92;3RKZ;3RLP;3RLQ;3RLR;3T0H;3T0Z;3T10;3T1K;3T2S;3TUH;3VHA;3VHC;3VHD;3WHA;3WQ9;4AIF;4AWO;4AWP;4AWQ;4B7P;4BQG;4BQJ;4CGQ;4CGU;4CGV;4CGW;4CWF;4CWN;4CWO;4CWP;4CWQ;4CWR;4CWS;4CWT;4EEH;4EFT;4EFU;4EGH;4EGI;4EGK;4FCP;4FCQ;4FCR;4HY6;4JQL;4L8Z;4L90;4L91;4L93;4L94;4LWE;4LWF;4LWG;4LWH;4LWI;4NH7;4NH8;4O04;4O05;4O07;4O09;4O0B;4R3M;4U93;4W7T;4XIP;4XIQ;4XIR;4XIT;4YKQ;4YKR;4YKT;4YKU;4YKW;4YKX;4YKY;4YKZ;5CF0;5FNC;5FND;5FNF;5GGZ;5J20;5J27;5J2V;5J2X;5J64;5J6L;5J6M;5J6N;5J80;5J82;5J86;5J8M;5J8U;5J9X;5LNY;5LNZ;5LO0;5LO1;5LO5;5LO6;5LQ9;5LR1;5LR7;5LRL;5LRZ;5LS1;5M4E;5M4H;5NYH;5NYI;5OCI;5OD7;5ODX;5T21;5VYY;5XQD;5XQE;5XR5;5XR9;5XRB;5XRD;5XRE;5ZR3;6B99;6B9A;6CEO;6CYG;6CYH;6EI5;6EL5;6ELN;6ELO;6ELP;6EY8;6EY9;6EYA;6EYB;6F1N;6FCJ;6FDP;6GP4;6GP8;6GPF;6GPH;6GPO;6GPP;6GPR;6GPT;6GPW;6GPY;6GQ6;6GQR;6GQS;6GQU;6GR1;6GR3;6GR4;6GR5;6HHR;6KSQ;6LR9;6LSZ;6LT8;6LTI;6LTK;6N8X;6OLX;6TN4;6TN5;6U98;6U99;6U9A;6U9B;7DMC;7KRJ;7KW7;7L7I;7L7J;7LSZ;7LT0;
P07902	reviewed	GALT_HUMAN	Galactose-1-phosphate uridylyltransferase, Gal-1-P uridylyltransferase, EC 2.7.7.12 (UDP-glucose--hexose-1-phosphate uridylyltransferase)	Homo sapiens (Human)	379	GALT	GALT	5IN3;6GQD;
P07910	reviewed	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2, hnRNP C1/C2	Homo sapiens (Human)	306	HNRNPC	HNRNPC HNRPC	1TXP;1WF2;2MXY;2MZ1;3LN4;
P07911	reviewed	UROM_HUMAN	Uromodulin (Tamm-Horsfall urinary glycoprotein, THP) [Cleaved into: Uromodulin, secreted form ]	Homo sapiens (Human)	640	UMOD	UMOD	4WRN;6TQK;6TQL;6ZS5;6ZYA;7PFP;7Q3N;
P07919	reviewed	QCR6_HUMAN	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	Homo sapiens (Human)	91	UQCRH	UQCRH	5XTE;5XTH;5XTI;
P07942	reviewed	LAMB1_HUMAN	Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta)	Homo sapiens (Human)	1786	LAMB1	LAMB1	5XAU;7CEC;
P07947	reviewed	YES_HUMAN	Tyrosine-protein kinase Yes, EC 2.7.10.2 (Proto-oncogene c-Yes) (p61-Yes)	Homo sapiens (Human)	543	YES1	YES1 YES	2HDA;
P07948	reviewed	LYN_HUMAN	Tyrosine-protein kinase Lyn, EC 2.7.10.2 (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	Homo sapiens (Human)	512	LYN	LYN JTK8	1W1F;1WA7;3A4O;5XY1;6NMW;
P07949	reviewed	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret, EC 2.7.10.1 (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment ]	Homo sapiens (Human)	1114	RET	RET CDHF12 CDHR16 PTC RET51	2IVS;2IVT;2IVU;2IVV;2X2K;2X2L;2X2M;2X2U;4CKI;4CKJ;4UX8;5AMN;5FM2;5FM3;6FEK;6GL7;6I82;6I83;6NE7;6NEC;6NJA;6Q2J;6Q2N;6Q2O;6Q2R;6Q2S;6VHG;7DU8;7DU9;7DUA;7JU5;7JU6;7NZN;7RUN;
P07954	reviewed	FUMH_HUMAN	Fumarate hydratase, mitochondrial, Fumarase, HsFH, EC 4.2.1.2	Homo sapiens (Human)	510	FH	FH	3E04;5D6B;5UPP;6EBT;6V8F;6VBE;7LUB;
P07988	reviewed	PSPB_HUMAN	Pulmonary surfactant-associated protein B, SP-B (18 kDa pulmonary-surfactant protein) (6 kDa protein) (Pulmonary surfactant-associated proteolipid SPL(Phe))	Homo sapiens (Human)	381	SFTPB	SFTPB SFTP3	1DFW;1KMR;1RG3;1RG4;1SSZ;2DWF;2JOU;2M0H;2M1T;
P07992	reviewed	ERCC1_HUMAN	DNA excision repair protein ERCC-1	Homo sapiens (Human)	297	ERCC1	ERCC1	1Z00;2A1I;2A1J;2JNW;2JPD;2MUT;6SXA;6SXB;
P07996	reviewed	TSP1_HUMAN	Thrombospondin-1 (Glycoprotein G)	Homo sapiens (Human)	1170	THBS1	THBS1 TSP TSP1	1LSL;1UX6;1Z78;1ZA4;2ERF;2ES3;2OUH;2OUJ;3R6B;5FOE;
P07998	reviewed	RNAS1_HUMAN	Ribonuclease pancreatic, EC 4.6.1.18 (HP-RNase) (RIB-1) (RNase UpI-1) (Ribonuclease 1, RNase 1) (Ribonuclease A, RNase A)	Homo sapiens (Human)	156	RNASE1	RNASE1 RIB1 RNS1	1DZA;1E21;1H8X;1Z7X;2E0J;2E0L;2E0M;2E0O;2K11;2Q4G;3F8G;4KXH;
P08034	reviewed	CXB1_HUMAN	Gap junction beta-1 protein (Connexin-32, Cx32) (GAP junction 28 kDa liver protein)	Homo sapiens (Human)	283	GJB1	GJB1 CX32	5KK9;
P08047	reviewed	SP1_HUMAN	Transcription factor Sp1	Homo sapiens (Human)	785	SP1	SP1 TSFP1	1SP1;1SP2;1VA1;1VA2;1VA3;6PV0;6PV1;6PV2;6PV3;6UCO;6UCP;
P08048	reviewed	ZFY_HUMAN	Zinc finger Y-chromosomal protein	Homo sapiens (Human)	801	ZFY	ZFY	1KLR;1KLS;1XRZ;5ZNF;7ZNF;
P08069	reviewed	IGF1R_HUMAN	Insulin-like growth factor 1 receptor, EC 2.7.10.1 (Insulin-like growth factor I receptor, IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain ]	Homo sapiens (Human)	1367	IGF1R	IGF1R	1IGR;1JQH;1K3A;1M7N;1P4O;2OJ9;2ZM3;3D94;3F5P;3I81;3LVP;3LW0;3NW5;3NW6;3NW7;3O23;3QQU;4D2R;4XSS;5FXQ;5FXR;5FXS;5HZN;5U8Q;5U8R;6JK8;6VWG;6VWH;6VWI;6VWJ;
P08100	reviewed	OPSD_HUMAN	Rhodopsin (Opsin-2)	Homo sapiens (Human)	348	RHO	RHO OPN2	4ZWJ;5DGY;5W0P;6CMO;
P08118	reviewed	MSMB_HUMAN	Beta-microseminoprotein (Immunoglobulin-binding factor, IGBF) (PN44) (Prostate secreted seminal plasma protein) (Prostate secretory protein of 94 amino acids, PSP-94, PSP94) (Seminal plasma beta-inhibin)	Homo sapiens (Human)	114	MSMB	MSMB PRSP	2IZ3;3IX0;
P08123	reviewed	CO1A2_HUMAN	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	Homo sapiens (Human)	1366	COL1A2	COL1A2	5CTD;5CTI;5CVA;6JEC;
P08133	reviewed	ANXA6_HUMAN	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II, CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	Homo sapiens (Human)	673	ANXA6	ANXA6 ANX6	1M9I;
P08134	reviewed	RHOC_HUMAN	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9, h9)	Homo sapiens (Human)	193	RHOC	RHOC ARH9 ARHC	1Z2C;2GCN;2GCO;2GCP;
P08138	reviewed	TNR16_HUMAN	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor, NGF receptor) (p75 ICD) (CD antigen CD271)	Homo sapiens (Human)	427	NGFR	NGFR TNFRSF16	2N80;2N83;2N97;3EWV;5ZGG;7CSQ;
P08151	reviewed	GLI1_HUMAN	Zinc finger protein GLI1 (Glioma-associated oncogene) (Oncogene GLI)	Homo sapiens (Human)	1106	GLI1	GLI1 GLI	2GLI;4BLB;4KMD;5OM0;
P08172	reviewed	ACM2_HUMAN	Muscarinic acetylcholine receptor M2	Homo sapiens (Human)	466	CHRM2	CHRM2	3UON;4MQS;4MQT;5YC8;5ZK3;5ZK8;5ZKB;5ZKC;6OIK;6U1N;
P08173	reviewed	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	Homo sapiens (Human)	479	CHRM4	CHRM4	5DSG;6D9H;6KP6;7LD3;7LD4;
P08174	reviewed	DAF_HUMAN	Complement decay-accelerating factor (CD antigen CD55)	Homo sapiens (Human)	381	CD55	CD55 CR DAF	1H03;1H04;1H2P;1H2Q;1M11;1NWV;1OJV;1OJW;1OJY;1OK1;1OK2;1OK3;1OK9;1UOT;1UPN;2C8I;2QZD;2QZF;2QZH;3IYP;3J24;5FOA;6ILJ;6ILK;6LA5;7C9W;7DO4;7VY5;7VY6;
P08183	reviewed	MDR1_HUMAN	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1, EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1, EC 7.6.2.1) (CD antigen CD243)	Homo sapiens (Human)	1280	ABCB1	ABCB1 MDR1 PGY1	6C0V;6FN1;6FN4;6QEX;7A65;7A69;7A6C;7A6E;7A6F;7O9W;
P08185	reviewed	CBG_HUMAN	Corticosteroid-binding globulin, CBG (Serpin A6) (Transcortin)	Homo sapiens (Human)	405	SERPINA6	SERPINA6 CBG	2VDX;2VDY;4BB2;4C41;4C49;
P08195	reviewed	4F2_HUMAN	4F2 cell-surface antigen heavy chain, 4F2hc (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	Homo sapiens (Human)	630	SLC3A2	SLC3A2 MDU1	2DH2;2DH3;6IRS;6IRT;6JMQ;6JMR;6S8V;7B00;7CCS;7P9U;7P9V;
P08235	reviewed	MCR_HUMAN	Mineralocorticoid receptor, MR (Nuclear receptor subfamily 3 group C member 2)	Homo sapiens (Human)	984	NR3C2	NR3C2 MCR MLR	1Y9R;1YA3;2A3I;2AA2;2AA5;2AA6;2AA7;2AAX;2AB2;2ABI;2OAX;3VHU;3VHV;3WFF;3WFG;4PF3;4TNT;4UDA;4UDB;5HCV;5L7E;5L7G;5L7H;5MWP;5MWY;6GEV;6GG8;6GGG;6L88;
P08236	reviewed	BGLR_HUMAN	Beta-glucuronidase, EC 3.2.1.31 (Beta-G1)	Homo sapiens (Human)	651	GUSB	GUSB	1BHG;3HN3;
P08237	reviewed	PFKAM_HUMAN	ATP-dependent 6-phosphofructokinase, muscle type, ATP-PFK, PFK-M, EC 2.7.1.11 (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A, PFK-A) (Phosphohexokinase)	Homo sapiens (Human)	780	PFKM	PFKM PFKX	4OMT;
P08238	reviewed	HS90B_HUMAN	Heat shock protein HSP 90-beta, HSP 90 (Heat shock 84 kDa, HSP 84, HSP84)	Homo sapiens (Human)	724	HSP90AB1	HSP90AB1 HSP90B HSPC2 HSPCB	1QZ2;1UYM;2L6J;3FWV;3NMQ;3PRY;3UQ3;5FWK;5FWL;5FWM;5FWP;5UC4;5UCH;5UCI;5UCJ;6N8W;6N8Y;
P08240	reviewed	SRPRA_HUMAN	Signal recognition particle receptor subunit alpha, SR-alpha (Docking protein alpha, DP-alpha)	Homo sapiens (Human)	638	SRPRA	SRPRA SRPR	2FH5;2GO5;5L3Q;6Y32;7NFX;
P08243	reviewed	ASNS_HUMAN	Asparagine synthetase [glutamine-hydrolyzing], EC 6.3.5.4 (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	Homo sapiens (Human)	561	ASNS	ASNS TS11	6GQ3;
P08246	reviewed	ELNE_HUMAN	Neutrophil elastase, EC 3.4.21.37 (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase, HLE) (Medullasin) (PMN elastase)	Homo sapiens (Human)	267	ELANE	ELANE ELA2	1B0F;1H1B;1HNE;1PPF;1PPG;2RG3;2Z7F;3Q76;3Q77;4NZL;4WVP;5A09;5A0A;5A0B;5A0C;5A8X;5A8Y;5A8Z;5ABW;6E69;6F5M;6SMA;7CBK;
P08253	reviewed	MMP2_HUMAN	72 kDa type IV collagenase, EC 3.4.24.24 (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2, MMP-2) (TBE-1) [Cleaved into: PEX ]	Homo sapiens (Human)	660	MMP2	MMP2 CLG4A	1CK7;1CXW;1EAK;1GEN;1GXD;1HOV;1J7M;1KS0;1QIB;1RTG;3AYU;
P08254	reviewed	MMP3_HUMAN	Stromelysin-1, SL-1, EC 3.4.24.17 (Matrix metalloproteinase-3, MMP-3) (Transin-1)	Homo sapiens (Human)	477	MMP3	MMP3 STMY1	1B3D;1B8Y;1BIW;1BM6;1BQO;1C3I;1C8T;1CAQ;1CIZ;1CQR;1D5J;1D7X;1D8F;1D8M;1G05;1G49;1G4K;1HFS;1HY7;1OO9;1QIA;1QIC;1SLM;1SLN;1UEA;1UMS;1UMT;1USN;2D1O;2JNP;2JT5;2JT6;2SRT;2USN;3OHL;3OHO;3USN;4DPE;4G9L;4JA1;6MAV;6N9D;7S7L;7S7M;
P08263	reviewed	GSTA1_HUMAN	Glutathione S-transferase A1, EC 2.5.1.18 (13-hydroperoxyoctadecadienoate peroxidase, EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase, EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed ]	Homo sapiens (Human)	222	GSTA1	GSTA1	1GSD;1GSE;1GSF;1GUH;1K3L;1K3O;1K3Y;1LBK;1PKW;1PKZ;1PL1;1PL2;1USB;1XWG;1YDK;2R3X;2R6K;3I69;3I6A;3IK9;3KTL;3L0H;3Q74;3U6V;3ZFB;3ZFL;4HJ2;5JCU;5LCZ;5LD0;6ATO;6ATP;6ATQ;6ATR;6YAW;7BIB;7BIC;
P08294	reviewed	SODE_HUMAN	Extracellular superoxide dismutase [Cu-Zn], EC-SOD, EC 1.15.1.1	Homo sapiens (Human)	240	SOD3	SOD3	2JLP;
P08311	reviewed	CATG_HUMAN	Cathepsin G, CG, EC 3.4.21.20 [Cleaved into: Cathepsin G, C-terminal truncated form ]	Homo sapiens (Human)	255	CTSG	CTSG	1AU8;1CGH;1KYN;1T32;6VTM;
P08319	reviewed	ADH4_HUMAN	All-trans-retinol dehydrogenase [NAD(+)] ADH4, EC 1.1.1.105 (Alcohol dehydrogenase 4) (Alcohol dehydrogenase class II pi chain)	Homo sapiens (Human)	380	ADH4	ADH4	3COS;
P08397	reviewed	HEM3_HUMAN	Porphobilinogen deaminase, PBG-D, EC 2.5.1.61 (Hydroxymethylbilane synthase, HMBS) (Pre-uroporphyrinogen synthase)	Homo sapiens (Human)	361	HMBS	HMBS PBGD UPS	3ECR;3EQ1;5M6R;5M7F;7AAJ;7AAK;7CCX;7CCY;7CCZ;7CD0;
P08473	reviewed	NEP_HUMAN	Neprilysin, EC 3.4.24.11 (Atriopeptidase) (Common acute lymphocytic leukemia antigen, CALLA) (Enkephalinase) (Neutral endopeptidase 24.11, NEP, Neutral endopeptidase) (Skin fibroblast elastase, SFE) (CD antigen CD10)	Homo sapiens (Human)	750	MME	MME EPN	1DMT;1R1H;1R1I;1R1J;1Y8J;2QPJ;2YB9;4CTH;5JMY;6GID;6SH1;6SH2;6SUK;6SVY;6THP;6XVP;
P08476	reviewed	INHBA_HUMAN	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein, EDF)	Homo sapiens (Human)	426	INHBA	INHBA	1NYS;1NYU;1S4Y;2ARP;2ARV;2B0U;2P6A;3B4V;4MID;5HLY;5HLZ;6Y6N;6Y6O;7OLY;
P08514	reviewed	ITA2B_HUMAN	Integrin alpha-IIb (GPalpha IIb, GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2 ]	Homo sapiens (Human)	1039	ITGA2B	ITGA2B GP2B ITGAB	1DPK;1DPQ;1KUP;1KUZ;1M8O;1S4W;1TYE;2K1A;2K9J;2KNC;2MTP;2N9Y;2VC2;2VDK;2VDL;2VDM;2VDN;2VDO;2VDP;2VDQ;2VDR;3FCS;3FCU;3NID;3NIF;3NIG;3T3M;3T3P;3ZDX;3ZDY;3ZDZ;3ZE0;3ZE1;3ZE2;4CAK;4Z7N;4Z7O;4Z7Q;5HDB;6V4P;7KN0;7LA4;
P08519	reviewed	APOA_HUMAN	Apolipoprotein(a), Apo(a), Lp(a), EC 3.4.21.-	Homo sapiens (Human)	2040	LPA	LPA	1I71;1JFN;1KIV;2FEB;3KIV;4BV5;4BV7;4BVC;4BVD;4BVV;4BVW;4KIV;6RX7;
P08559	reviewed	ODPA_HUMAN	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial, EC 1.2.4.1 (PDHE1-A type I)	Homo sapiens (Human)	390	PDHA1	PDHA1 PHE1A	1NI4;2OZL;3EXE;3EXF;3EXG;3EXH;3EXI;6CER;6CFO;
P08567	reviewed	PLEK_HUMAN	Pleckstrin (Platelet 47 kDa protein, p47)	Homo sapiens (Human)	350	PLEK	PLEK P47	1PLS;1W4M;1X05;1XX0;1ZM0;2CSO;2I5C;2I5F;
P08571	reviewed	CD14_HUMAN	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form ]	Homo sapiens (Human)	375	CD14	CD14	4GLP;
P08572	reviewed	CO4A2_HUMAN	Collagen alpha-2(IV) chain [Cleaved into: Canstatin ]	Homo sapiens (Human)	1712	COL4A2	COL4A2	1LI1;5NAX;5NB2;6MPX;
P08574	reviewed	CY1_HUMAN	Cytochrome c1, heme protein, mitochondrial, EC 7.1.1.8 (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit, Cytochrome c-1)	Homo sapiens (Human)	325	CYC1	CYC1	5XTE;5XTH;5XTI;
